time,device,vmCount,ramUsed,ramTotal,ramUtilPercent,cpuUtilPercent,energyConsumed,anomaly_score,anomaly,is_anomaly
310,soil-sensor-node,2,400,512,78.13,1.48,0.001,0.11357274233805215,1,False
310,signal-monitor,2,600,1024,58.59,8.4,0.001,0.05008561046310123,1,False
310,irrigation-controller,2,300,2048,14.65,11.9,0.001,-0.029936204096403962,-1,True
400,cloud,4,2000,40000,5.0,34.19,0.001,0.041018487424893,1,False
400,fog-0,4,3500,4000,87.5,46.69,0.001,0.0791097820420994,1,False
400,cam-1,2,800,1000,80.0,16.13,0.001,0.16495300901446364,1,False
400,cam-2,2,800,1000,80.0,23.11,0.001,0.19476080802086598,1,False
400,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
400,signal-monitor,2,600,1024,58.59,0.65,0.001,0.11635431690402409,1,False
400,irrigation-controller,2,300,2048,14.65,13.41,0.001,-0.04304338819103937,-1,True
400,cloud,4,2000,40000,5.0,37.54,0.001,-0.009376222784322708,-1,True
400,fog-0,4,3500,4000,87.5,49.85,0.001,0.10907274858773852,1,False
400,cam-1,2,800,1000,80.0,19.45,0.001,0.19633334306268152,1,False
400,cam-2,2,800,1000,80.0,17.68,0.001,0.18343026918871624,1,False
400,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
400,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
400,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
400,cloud,4,2000,40000,5.0,42.09,0.001,-0.06828446470126237,-1,True
400,fog-0,4,3500,4000,87.5,50.64,0.001,0.0915402887163862,1,False
400,cam-1,2,800,1000,80.0,11.06,0.001,0.10622541451497813,1,False
400,cam-2,2,800,1000,80.0,24.8,0.001,0.19636045790829282,1,False
400,soil-sensor-node,2,400,512,78.13,3.79,0.001,0.08566557558754184,1,False
400,signal-monitor,2,600,1024,58.59,1.04,0.001,0.1158684359759693,1,False
400,irrigation-controller,2,300,2048,14.65,7.61,0.001,0.036568548614813734,1,False
400,cloud,4,2000,40000,5.0,34.83,0.001,0.027456702440217695,1,False
400,fog-0,4,3500,4000,87.5,40.79,0.001,-0.002537310925725067,-1,True
400,cam-1,2,800,1000,80.0,17.39,0.001,0.17600168026454294,1,False
400,cam-2,2,800,1000,80.0,7.13,0.001,0.06215151202361835,1,False
400,soil-sensor-node,2,400,512,78.13,3.72,0.001,0.09047752577922519,1,False
400,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
400,irrigation-controller,2,300,2048,14.65,2.79,0.001,0.05964142857600663,1,False
410,cloud,4,2000,40000,5.0,33.56,0.001,0.050267479317274155,1,False
410,fog-0,4,3500,4000,87.5,45.87,0.001,0.06807569359268528,1,False
410,cam-1,2,800,1000,80.0,10.54,0.001,0.10483924689712476,1,False
410,cam-2,2,800,1000,80.0,22.46,0.001,0.20367898775034127,1,False
410,soil-sensor-node,2,400,512,78.13,1.27,0.001,0.10684731008890114,1,False
410,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
410,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
500,cloud,4,2000,40000,5.0,27.4,0.001,0.09865576178386715,1,False
500,fog-0,4,3500,4000,87.5,39.73,0.001,-0.016702097571869023,-1,True
500,cam-1,2,800,1000,80.0,26.57,0.001,0.1812461084975892,1,False
500,cam-2,2,800,1000,80.0,18.43,0.001,0.19241704882288102,1,False
500,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
500,signal-monitor,2,600,1024,58.59,2.66,0.001,0.11995982605057331,1,False
500,irrigation-controller,2,300,2048,14.65,5.35,0.001,0.0648567021185783,1,False
500,cloud,4,2000,40000,5.0,32.92,0.001,0.056639439859835994,1,False
500,fog-0,4,3500,4000,87.5,50.42,0.001,0.10198027768421525,1,False
500,cam-1,2,800,1000,80.0,14.28,0.001,0.14799084716977984,1,False
500,cam-2,2,800,1000,80.0,20.06,0.001,0.1972229571439465,1,False
500,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
500,signal-monitor,2,600,1024,58.59,0.7,0.001,0.11283632761405993,1,False
500,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
500,cloud,4,2000,40000,5.0,21.73,0.001,0.06504497206319093,1,False
500,fog-0,4,3500,4000,87.5,38.75,0.001,-0.029999239321419457,-1,True
500,cam-1,2,800,1000,80.0,19.25,0.001,0.19459335262742838,1,False
500,cam-2,2,800,1000,80.0,18.78,0.001,0.1919909836650881,1,False
500,soil-sensor-node,2,400,512,78.13,0.84,0.001,0.10151662539301332,1,False
500,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
500,irrigation-controller,2,300,2048,14.65,9.17,0.001,0.007627640159182381,1,False
500,cloud,4,2000,40000,5.0,34.23,0.001,0.040244661644771806,1,False
500,fog-0,4,3500,4000,87.5,42.35,0.001,0.01770056762635963,1,False
500,cam-1,2,800,1000,80.0,17.22,0.001,0.17252466133955696,1,False
500,cam-2,2,800,1000,80.0,14.69,0.001,0.15447075455394538,1,False
500,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
500,signal-monitor,2,600,1024,58.59,1.46,0.001,0.10414216048159475,1,False
500,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
500,cloud,4,2000,40000,5.0,39.5,0.001,-0.04351819206804686,-1,True
500,fog-0,4,3500,4000,87.5,48.15,0.001,0.10109277049539334,1,False
500,cam-1,2,800,1000,80.0,17.7,0.001,0.18516121777764905,1,False
500,cam-2,2,800,1000,80.0,24.04,0.001,0.20086253185980235,1,False
500,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
500,signal-monitor,2,600,1024,58.59,0.14,0.001,0.13331631021632762,1,False
500,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
510,cloud,4,2000,40000,5.0,37.44,0.001,-0.00811526032092691,-1,True
510,fog-0,4,3500,4000,87.5,53.98,0.001,0.09286310520898433,1,False
510,cam-1,2,800,1000,80.0,12.41,0.001,0.13010701179456252,1,False
510,cam-2,2,800,1000,80.0,17.37,0.001,0.17600168026454294,1,False
510,soil-sensor-node,2,400,512,78.13,5.2,0.001,0.070774974472405,1,False
510,signal-monitor,2,600,1024,58.59,0.43,0.001,0.11833732830123572,1,False
510,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
600,cloud,4,2000,40000,5.0,20.88,0.001,0.0677350160294996,1,False
600,fog-0,4,3500,4000,87.5,46.44,0.001,0.07895035661266259,1,False
600,cam-1,2,800,1000,80.0,28.43,0.001,0.15309981287292446,1,False
600,cam-2,2,800,1000,80.0,23.88,0.001,0.20100756515358786,1,False
600,soil-sensor-node,2,400,512,78.13,5.14,0.001,0.07115656579042651,1,False
600,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
600,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
600,cloud,4,2000,40000,5.0,35.51,0.001,0.014040768406485715,1,False
600,fog-0,4,3500,4000,87.5,49.12,0.001,0.1129315560371037,1,False
600,cam-1,2,800,1000,80.0,16.42,0.001,0.1674044344904565,1,False
600,cam-2,2,800,1000,80.0,23.23,0.001,0.1952548502162803,1,False
600,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
600,signal-monitor,2,600,1024,58.59,3.54,0.001,0.10515716153866128,1,False
600,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
600,cloud,4,2000,40000,5.0,28.36,0.001,0.10000558682431748,1,False
600,fog-0,4,3500,4000,87.5,50.95,0.001,0.09068811365492657,1,False
600,cam-1,2,800,1000,80.0,11.98,0.001,0.1233982378305597,1,False
600,cam-2,2,800,1000,80.0,12.0,0.001,0.12326096043434359,1,False
600,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
600,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
600,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
600,cloud,4,2000,40000,5.0,32.98,0.001,0.05701539490896068,1,False
600,fog-0,4,3500,4000,87.5,39.88,0.001,-0.01542628042940064,-1,True
600,cam-1,2,800,1000,80.0,6.49,0.001,0.05678048746331066,1,False
600,cam-2,2,800,1000,80.0,15.97,0.001,0.1604103565655745,1,False
600,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
600,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
600,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
600,cloud,4,2000,40000,5.0,37.83,0.001,-0.02195357132723985,-1,True
600,fog-0,4,3500,4000,87.5,51.87,0.001,0.09037675509318543,1,False
600,cam-1,2,800,1000,80.0,12.79,0.001,0.13472137597322692,1,False
600,cam-2,2,800,1000,80.0,16.38,0.001,0.1674044344904565,1,False
600,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
600,signal-monitor,2,600,1024,58.59,2.83,0.001,0.11601891342024351,1,False
600,irrigation-controller,2,300,2048,14.65,0.55,0.001,0.05060462004679611,1,False
600,cloud,4,2000,40000,5.0,37.3,0.001,-0.00727603947339206,-1,True
600,fog-0,4,3500,4000,87.5,48.72,0.001,0.11384123628881959,1,False
600,cam-1,2,800,1000,80.0,18.52,0.001,0.19564800478579414,1,False
600,cam-2,2,800,1000,80.0,10.74,0.001,0.10732107805339897,1,False
600,soil-sensor-node,2,400,512,78.13,7.9,0.001,0.014513903160144892,1,False
600,signal-monitor,2,600,1024,58.59,6.95,0.001,0.06299883280275886,1,False
600,irrigation-controller,2,300,2048,14.65,6.7,0.001,0.057583022795066774,1,False
610,cloud,4,2000,40000,5.0,25.18,0.001,0.10322026492198466,1,False
610,fog-0,4,3500,4000,87.5,43.13,0.001,0.04295544615043845,1,False
610,cam-1,2,800,1000,80.0,18.22,0.001,0.19237736871493355,1,False
610,cam-2,2,800,1000,80.0,15.43,0.001,0.15888879281107415,1,False
610,soil-sensor-node,2,400,512,78.13,1.61,0.001,0.1137097027822282,1,False
610,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
610,irrigation-controller,2,300,2048,14.65,1.36,0.001,0.04864366416306787,1,False
700,cloud,4,2000,40000,5.0,25.27,0.001,0.10343123379163499,1,False
700,fog-0,4,3500,4000,87.5,46.94,0.001,0.0854924209553376,1,False
700,cam-1,2,800,1000,80.0,18.58,0.001,0.19598870456219708,1,False
700,cam-2,2,800,1000,80.0,15.08,0.001,0.15453923132035252,1,False
700,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
700,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
700,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
700,cloud,4,2000,40000,5.0,35.56,0.001,0.013719752393848483,1,False
700,fog-0,4,3500,4000,87.5,43.34,0.001,0.04407723523931495,1,False
700,cam-1,2,800,1000,80.0,28.41,0.001,0.15341052622702966,1,False
700,cam-2,2,800,1000,80.0,15.39,0.001,0.15888879281107415,1,False
700,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
700,signal-monitor,2,600,1024,58.59,6.57,0.001,0.07238458001315073,1,False
700,irrigation-controller,2,300,2048,14.65,1.09,0.001,0.04857250616898723,1,False
700,cloud,4,2000,40000,5.0,36.25,0.001,0.006707936753015509,1,False
700,fog-0,4,3500,4000,87.5,48.65,0.001,0.11315802413223891,1,False
700,cam-1,2,800,1000,80.0,17.39,0.001,0.17600168026454294,1,False
700,cam-2,2,800,1000,80.0,21.25,0.001,0.1983546733819756,1,False
700,soil-sensor-node,2,400,512,78.13,3.01,0.001,0.09677705852207197,1,False
700,signal-monitor,2,600,1024,58.59,1.68,0.001,0.10861193636827748,1,False
700,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
700,cloud,4,2000,40000,5.0,24.41,0.001,0.09402341879131626,1,False
700,fog-0,4,3500,4000,87.5,48.2,0.001,0.10109277049539334,1,False
700,cam-1,2,800,1000,80.0,18.09,0.001,0.19389302778591538,1,False
700,cam-2,2,800,1000,80.0,21.68,0.001,0.20064556767279285,1,False
700,soil-sensor-node,2,400,512,78.13,1.32,0.001,0.11015756258983778,1,False
700,signal-monitor,2,600,1024,58.59,6.32,0.001,0.07992264074154642,1,False
700,irrigation-controller,2,300,2048,14.65,6.85,0.001,0.05564673839347056,1,False
700,cloud,4,2000,40000,5.0,30.8,0.001,0.058289196359848416,1,False
700,fog-0,4,3500,4000,87.5,33.42,0.001,-0.06336768444341356,-1,True
700,cam-1,2,800,1000,80.0,3.6,0.001,0.041669264236193326,1,False
700,cam-2,2,800,1000,80.0,22.53,0.001,0.20552400499452206,1,False
700,soil-sensor-node,2,400,512,78.13,1.11,0.001,0.1025681235553455,1,False
700,signal-monitor,2,600,1024,58.59,8.12,0.001,0.054736913054733716,1,False
700,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
700,cloud,4,2000,40000,5.0,24.56,0.001,0.09728276981890882,1,False
700,fog-0,4,3500,4000,87.5,55.36,0.001,0.07517705419614573,1,False
700,cam-1,2,800,1000,80.0,22.02,0.001,0.20225889476959696,1,False
700,cam-2,2,800,1000,80.0,22.59,0.001,0.20419407558949354,1,False
